species,height
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,11
Chlorogalum pomeridianum,18
Chlorogalum pomeridianum,15
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,9
Chlorogalum pomeridianum,19
Chlorogalum pomeridianum,10
Chlorogalum pomeridianum,12
Chlorogalum pomeridianum,15
Chlorogalum pomeridianum,13
Chlorogalum pomeridianum,19
Chlorogalum pomeridianum,26
Chlorogalum pomeridianum,18
Chlorogalum pomeridianum,13
Chlorogalum pomeridianum,21
Chlorogalum pomeridianum,22
Chlorogalum pomeridianum,12
Chlorogalum pomeridianum,12
Chlorogalum pomeridianum,7
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,21
Torilis arvensis,99
Torilis arvensis,75
Torilis arvensis,68
Torilis arvensis,78
Torilis arvensis,71
Torilis arvensis,55
Torilis arvensis,45
Torilis arvensis,84
Torilis arvensis,75
Torilis arvensis,65
Torilis arvensis,30
Torilis arvensis,41
Torilis arvensis,45
Torilis arvensis,52
Torilis arvensis,75
Torilis arvensis,58
Torilis arvensis,40
Torilis arvensis,68
Torilis arvensis,69
Torilis arvensis,66
Torilis arvensis,43
Torilis arvensis,54
Torilis arvensis,65
Torilis arvensis,52
Torilis arvensis,59
Torilis arvensis,51
Torilis arvensis,50
Torilis arvensis,38
Torilis arvensis,56
Torilis arvensis,43
Torilis arvensis,52
Torilis arvensis,70
Torilis arvensis,60
Torilis arvensis,72
Torilis arvensis,64
Torilis arvensis,36
Torilis arvensis,72
Torilis arvensis,58
Torilis arvensis,50
Torilis arvensis,70
Lagophylla ramosissima,15
Lagophylla ramosissima,16
Lagophylla ramosissima,20
Lagophylla ramosissima,21
Lagophylla ramosissima,27
Lagophylla ramosissima,30
Lagophylla ramosissima,30
Lagophylla ramosissima,12
Lagophylla ramosissima,14
Lagophylla ramosissima,20
Lagophylla ramosissima,19
Lagophylla ramosissima,16
Lagophylla ramosissima,19
Lagophylla ramosissima,20
Lagophylla ramosissima,22
Lagophylla ramosissima,22
Lagophylla ramosissima,21
Lagophylla ramosissima,21
Lagophylla ramosissima,24
Lagophylla ramosissima,20
Lagophylla ramosissima,24
Lagophylla ramosissima,25
Lagophylla ramosissima,27
Lagophylla ramosissima,21
Lagophylla ramosissima,16
Lagophylla ramosissima,23
Lagophylla ramosissima,18
Lagophylla ramosissima,13
